draw_date,n1,n2,n3,n4,n5,n6,jolly,superstar
2024-02-09,6,22,29,42,48,66,56,81
2024-02-08,2,4,24,62,73,75,1,49
2024-02-06,26,34,39,46,54,89,13,11
2024-02-03,6,10,12,34,66,77,19,58
2024-02-02,2,35,38,44,68,83,50,73
2024-02-01,3,44,74,81,87,89,85,66
2024-01-30,5,10,76,82,83,89,25,49
2024-01-27,17,33,38,43,49,80,69,30
2024-01-26,24,32,36,47,50,78,62,72
2024-01-25,27,29,30,53,54,86,34,57
2024-01-23,11,15,16,42,48,52,1,16
2024-01-20,2,19,56,58,63,71,22,14
2024-01-19,21,22,28,50,55,68,38,35
2024-01-18,14,26,36,60,62,84,73,68
2024-01-16,21,39,51,59,68,86,63,48
2024-01-13,4,43,45,55,56,60,5,55
2024-01-12,11,23,25,72,78,84,20,40
2024-01-11,45,56,59,69,73,77,7,81
2024-01-09,10,19,23,39,40,83,73,13
2024-01-08,20,28,42,48,51,62,72,47
2024-01-04,7,9,29,51,60,70,59,41
2024-01-02,2,9,16,35,46,63,49,5
2023-12-30,23,43,45,53,66,69,4,59
2023-12-29,13,46,47,67,68,90,55,40
2023-12-28,15,36,57,58,79,86,35,47
2023-12-23,8,10,49,57,79,81,36,65
2023-12-22,1,8,46,57,73,79,67,32
2023-12-21,19,32,38,62,77,79,90,83
2023-12-19,20,26,30,33,54,83,89,64
2023-12-18,3,4,14,15,65,85,33,43
2023-12-16,13,22,23,42,47,87,67,69
2023-12-15,52,63,67,71,83,89,23,46
2023-12-14,22,28,37,39,53,86,78,70
2023-12-12,4,27,47,57,59,89,7,4
2023-12-11,1,41,46,50,84,89,37,19
2023-12-09,3,20,27,41,59,82,24,31
2023-12-07,5,19,42,44,68,84,72,38
2023-12-05,4,6,16,39,41,44,23,78
2023-12-02,19,24,29,53,74,83,70,40
2023-12-01,11,22,33,44,65,66,87,17
2023-11-30,27,38,41,81,84,86,49,69
2023-11-28,6,14,49,52,67,68,80,25
2023-11-25,11,27,28,55,58,73,49,12
2023-11-24,4,13,28,30,47,59,61,56
2023-11-23,1,37,61,68,71,83,52,25
2023-11-21,30,59,61,86,88,90,43,77
2023-11-18,5,51,52,60,62,80,22,23
2023-11-17,14,23,63,70,75,89,59,83
2023-11-16,9,10,19,40,52,56,50,42
2023-11-14,35,38,39,51,74,80,4,20
2023-11-11,16,22,23,25,62,82,5,11
2023-11-10,7,45,58,62,69,76,66,37
2023-11-09,14,68,70,84,85,87,45,16
2023-11-07,10,30,36,64,69,76,68,88
2023-11-04,16,52,59,63,84,90,32,55
2023-11-03,52,64,68,76,84,87,14,6
2023-11-02,17,29,40,56,60,80,33,2
2023-10-31,3,42,54,69,73,80,68,29
2023-10-28,4,9,25,30,57,66,79,77
2023-10-27,23,40,49,57,68,69,56,56
2023-10-26,11,19,28,34,38,45,1,31
2023-10-24,8,18,41,54,75,79,42,8
2023-10-21,23,35,37,58,61,73,50,13
2023-10-20,14,21,24,49,71,81,5,17
2023-10-19,10,18,45,55,66,70,75,53
2023-10-17,16,28,39,40,63,85,12,33
2023-10-14,4,6,52,79,81,83,45,53
2023-10-13,24,29,40,55,56,77,49,79
2023-10-12,5,7,10,14,20,36,54,11
2023-10-10,1,39,45,49,87,88,30,41
2023-10-07,12,35,37,42,55,58,63,13
2023-10-06,33,36,48,62,82,90,8,61
2023-10-05,20,22,39,65,69,71,38,53
2023-10-03,12,13,20,54,67,84,66,77
2023-09-30,17,25,64,66,74,76,49,78
2023-09-29,6,35,48,53,81,86,47,71
2023-09-28,9,25,40,58,85,86,11,34
2023-09-26,41,43,45,60,66,78,30,75
2023-09-23,22,27,38,51,80,82,24,31
2023-09-22,3,58,67,69,70,84,5,11
2023-09-21,4,21,29,31,45,59,42,2
2023-09-19,9,11,41,52,86,89,36,9
